PRID,PRSHA,PRCOMMITMESSAGE,PRFILE,PRSTATUS,PRADDS,PRDELSS,PRCHANGECOUNT,PRDIFF
3271196926,2f9d54dda4f0c87c19e0bbeb9936f525d0587e16,"Add llms.txt compilation system for AI model documentation

- Create docs/compile_llms_txt.py script to compile all documentation
- Add GitHub Actions workflow to auto-update llms.txt on doc changes
- Generate initial llms.txt file with comprehensive AgentOps documentation
- Include all versions (v0, v1, v2) and key repository documentation

Co-Authored-By: Pratyush Shukla <pratyush@agentops.ai>",.github/workflows/compile-llms-txt.yml,added,38.0,0.0,38.0,"@@ -0,0 +1,38 @@
+name: Compile llms.txt
+
+on:
+  push:
+    branches: [ main ]
+    paths:
+      - 'docs/**'
+      - 'README.md'
+      - 'CONTRIBUTING.md'
+      - 'examples/*/README.md'
+      - 'agentops/*/README.md'
+  workflow_dispatch:
+
+jobs:
+  compile-llms-txt:
+    runs-on: ubuntu-latest
+    steps:
+    - uses: actions/checkout@v4
+      with:
+        token: ${{ secrets.GITHUB_TOKEN }}
+        
+    - name: Set up Python
+      uses: actions/setup-python@v4
+      with:
+        python-version: '3.11'
+        
+    - name: Compile llms.txt
+      run: |
+        cd docs
+        python compile_llms_txt.py
+        
+    - name: Commit and push if changed
+      run: |
+        git config --local user.email ""action@github.com""
+        git config --local user.name ""GitHub Action""
+        git add llms.txt
+        git diff --staged --quiet || git commit -m ""Auto-update llms.txt from documentation changes""
+        git push"
3271196926,2f9d54dda4f0c87c19e0bbeb9936f525d0587e16,"Add llms.txt compilation system for AI model documentation

- Create docs/compile_llms_txt.py script to compile all documentation
- Add GitHub Actions workflow to auto-update llms.txt on doc changes
- Generate initial llms.txt file with comprehensive AgentOps documentation
- Include all versions (v0, v1, v2) and key repository documentation

Co-Authored-By: Pratyush Shukla <pratyush@agentops.ai>",docs/compile_llms_txt.py,added,47.0,0.0,47.0,"@@ -0,0 +1,47 @@
+import os
+from pathlib import Path
+
+def compile_llms_txt():
+    """"""Compile all relevant documentation into llms.txt for AI model consumption.""""""
+    current_dir = Path(os.getcwd())
+    content = ''
+    
+    # Define names of directories and files to exclude
+    excluded_names = {'node_modules', '.git', '__pycache__', '.venv', 'images', '.pytest_cache', 'dist', 'build'}
+    
+    def should_include_file(file_path):
+        """"""Check if a file should be included based on patterns and exclusions.""""""
+        path_parts = Path(file_path).parts
+        
+        if any(part in excluded_names for part in path_parts):
+            return False
+            
+        if file_path.endswith(('.md', '.mdx')):
+            return True
+            
+        return False
+    
+    for root, dirs, files in os.walk('..'):
+        dirs[:] = [d for d in dirs if d not in excluded_names]
+        
+        for file in files:
+            if should_include_file(file):
+                file_path = os.path.join(root, file)
+                relative_path = os.path.relpath(file_path, '..')
+                
+                try:
+                    with open(file_path, 'r', encoding='utf-8') as f:
+                        file_content = f.read()
+                    content += f""## {relative_path}\n\n{file_content}\n\n""
+                except (UnicodeDecodeError, PermissionError) as e:
+                    print(f""Warning: Could not read {relative_path}: {e}"")
+                    continue
+
+    # Write the complete content to llms.txt in the repository root
+    output_path = Path('../llms.txt')
+    output_path.write_text(content, encoding='utf-8')
+    print(f""Successfully compiled documentation to {output_path.absolute()}"")
+    print(f""Total content length: {len(content)} characters"")
+
+if __name__ == ""__main__"":
+    compile_llms_txt()"
3271196926,2f9d54dda4f0c87c19e0bbeb9936f525d0587e16,"Add llms.txt compilation system for AI model documentation

- Create docs/compile_llms_txt.py script to compile all documentation
- Add GitHub Actions workflow to auto-update llms.txt on doc changes
- Generate initial llms.txt file with comprehensive AgentOps documentation
- Include all versions (v0, v1, v2) and key repository documentation

Co-Authored-By: Pratyush Shukla <pratyush@agentops.ai>",llms.txt,added,22923.0,0.0,22923.0,
3271196926,dbd1b5f129f7cffa5ce284d7255814c98bcc38a2,"Fix lint issues: remove unused variable and apply formatting

- Remove unused current_dir variable to fix F841 error
- Apply ruff formatting changes for consistent code style

Co-Authored-By: Pratyush Shukla <pratyush@agentops.ai>",docs/compile_llms_txt.py,modified,18.0,17.0,35.0,"@@ -1,47 +1,48 @@
 import os
 from pathlib import Path
 
+
 def compile_llms_txt():
     """"""Compile all relevant documentation into llms.txt for AI model consumption.""""""
-    current_dir = Path(os.getcwd())
-    content = ''
-    
+    content = """"
+
     # Define names of directories and files to exclude
-    excluded_names = {'node_modules', '.git', '__pycache__', '.venv', 'images', '.pytest_cache', 'dist', 'build'}
-    
+    excluded_names = {""node_modules"", "".git"", ""__pycache__"", "".venv"", ""images"", "".pytest_cache"", ""dist"", ""build""}
+
     def should_include_file(file_path):
         """"""Check if a file should be included based on patterns and exclusions.""""""
         path_parts = Path(file_path).parts
-        
+
         if any(part in excluded_names for part in path_parts):
             return False
-            
-        if file_path.endswith(('.md', '.mdx')):
+
+        if file_path.endswith(("".md"", "".mdx"")):
             return True
-            
+
         return False
-    
-    for root, dirs, files in os.walk('..'):
+
+    for root, dirs, files in os.walk(""..""):
         dirs[:] = [d for d in dirs if d not in excluded_names]
-        
+
         for file in files:
             if should_include_file(file):
                 file_path = os.path.join(root, file)
-                relative_path = os.path.relpath(file_path, '..')
-                
